Lexeme: 	 L.no:	 Token:
auto 		 1	 keyword
break 		 2	 keyword
case 		 3	 keyword
char 		 4	 keyword
const 		 5	 keyword
continue 	 6	 keyword
default 	 7	 keyword
do 		 8	 keyword
double 		 9	 keyword
else 		 10	 keyword
enum 		 11	 keyword
extern 		 12	 keyword
float 		 13	 keyword
for 		 14	 keyword
goto 		 15	 keyword
if 		 16	 keyword
int 		 17	 keyword
long 		 18	 keyword
register 	 19	 keyword
return 		 20	 keyword
short 		 21	 keyword
signed 		 22	 keyword
sizeof 		 23	 keyword
static 		 24	 keyword
struct 		 25	 keyword
switch 		 26	 keyword
typdef 		 27	 keyword
union 		 28	 keyword
unsigned 	 29	 keyword
void 		 30	 keyword
volitile 	 31	 keyword
while 		 32	 keyword
printf 		 33	 keyword
scanf 		 34	 keyword
fprintf		 35      keyword
FILE 		 36	 keyword
fopen 		 37	 keyword
exit 		 38	 keyword
fgets 		 39	 keyword
sscanf 		 40	 keyword
strcmp 		 41	 keyword
fclose 		 42	 keyword
fprintf 	 43	 keyword
strcpy 		 44	 keyword
fgetc 		 45	 keyword
EOF 		 46	 keyword
a 		 47	 identifier
b 		 48	 identifier
c 		 49	 identifier
0 		 50	 number
ch 		 51	 identifier
